"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"91",64,"Amari Cooper","WR","CLE",191,18.5,0.143,169,221,23.2,24,25.9,90,73,56,23,6,54,17.4,39,191,0,20
"92",65,"Michael Pittman","WR","IND",191,16.6,0.678,171,221,23,26.1,25.8,90,71,57,23,6,49.1,20.3,38,191,0,20
"93",67,"George Pickens","WR","PIT",191,16.1,5.44,172,213,22.4,26.7,17.8,90,70,70,23,6,66.2,10.8,46,191,0,20
"94",95,"Jared Goff","QB","DET",316,24.2,2.39,273,347,2.39,-8.78,0,90,133,103,12,4,111,7.63,49,316,0,-9999
"95",101,"T.J. Hockenson","TE","MIN",121,19.5,0.439,88.9,146,0.439,-11.9,3.31,90,141,94,12,5,107,11.5,76,121,0,-50
"96",106,"Brock Bowers","TE","LVR",121,19.1,1.25,81.6,138,0,-19.2,-5.08,90,172,115,12,6,107,9.24,53,121,0,-50
"97",119,"Blake Grupe","K","NO",139,10.9,0.335,123,153,-4.72,-10,-1.71,90,136,106,12,2,166,0.84,65,139,0,-9999
"98",122,"Jake Moody","K","SF",139,6.65,0.421,129,147,-5.05,-4.27,-7.45,90,118,123,12,2,153,1.58,6,139,0,-9999
"99",124,"Cairo Santos","K","CHI",139,9.86,0.869,126,149,-5.47,-6.79,-5.58,90,124,118,12,3,171,1.09,42,139,0,-9999
"100",133,"Dolphins","DST","MIA",92.2,9.27,3.51,82.1,104,-7.44,-7.45,-10.4,90,128,130,12,7,147,1.13,55,92.2,0,-9999
"101",112,"Pat Freiermuth","TE","PIT",120,13,0.382,101,137,-1.25,0,-5.89,101,103,120,14,6,134,4.52,29,121,-1,-51
"102",128,"Jason Sanders","K","MIA",138,7.17,0.65,130,150,-6.34,-2.68,-4.93,101,109,113,15,3,162,1.32,13,139,-1,-9999
"103",60,"D'Andre Swift","RB","CHI",171,23.4,3.11,144,208,26.7,42.4,38.8,103,48,41,25,7,69.2,12.6,47,173,-2,0
"104",113,"Dalton Schultz","TE","HOU",119,9.57,0.238,103,133,-1.64,2.63,-9.73,103,97,128,15,6,132,3.95,6,121,-2,-52
"105",114,"Cole Kmet","TE","CHI",119,23.6,15.8,74.8,143,-1.87,-26,0,103,191,103,15,7,133,4.04,79,121,-2,-52
"106",131,"Tyler Bass","K","BUF",137,5.74,1.74,131,146,-6.99,-1.73,-8.69,103,106,126,16,3,158,1.61,3,139,-2,-9999
"107",103,"Trevor Lawrence","QB","JAC",313,20.9,2.05,277,342,0,-4.11,-5.25,107,117,117,13,4,112,7.51,37,316,-3,-9999
